AAAS,ADA,ADCY6,ADRM1,AK1,AK3,APRT,ARL6IP1,BCAM,BCAP31,BOLA2,BRF2,CANT1,CCNO,CDA,CETN2,CMPK2,COX17,CSTF3,DAD1,DCTN4,DDB1,DDB2,DGCR8,DGUOK,DUT,EDF1,EIF1B,ELL,ERCC1,ERCC2,ERCC3,ERCC4,ERCC5,ERCC8,FEN1,GMPR2,GPX4,GTF2A2,GTF2B,GTF2F1,GTF2H1,GTF2H3,GTF2H5,GTF3C5,GUK1,HCLS1,HPRT1,IMPDH2,ITPA,LIG1,MPG,MRPL40,NCBP2,NFX1,NME1,NME3,NME4,NT5C,NUDT21,NUDT9,PCNA,PDE4B,PDE6G,PNP,POLA1,POLA2,POLB,POLD1,POLD3,POLD4,POLE4,POLH,POLL,POLR1C,POLR1D,POLR2A,POLR2C,POLR2D,POLR2E,POLR2F,POLR2G,POLR2H,POLR2I,POLR2J,POLR2K,POLR3C,POLR3GL,POM121,PRIM1,RAD51,RAD52,RAE1,RALA,RBX1,REV3L,RFC2,RFC3,RFC4,RFC5,RNMT,RPA2,RPA3,RRM2B,SAC3D1,SDCBP,SEC61A1,SF3A3,SMAD5,SNAPC4,SNAPC5,SRSF6,SSRP1,STX3,SUPT4H1,SUPT5H,SURF1,TAF10,TAF12,TAF13,TAF1C,TAF6,TAF9,TARBP2,TK2,TMED2,TP53,TSG101,TYMS,UMPS,UPF3B,USP11,VPS28,VPS37B,VPS37D,XPC,ZNF707,ZWINT,label
199.001,80.999,564.0,274.001,550.971,441.0,213.0,505.0,306.0,520.0,81.217,104.0,326.0,5.0,27.0,110.0,57.0,85.043,134.0,443.0,667.0,1801.998,349.999,430.0,87.0,230.001,543.0,129.999,156.0,492.001,146.0,301.0,266.001,500.0,216.585,53.0,225.0,649.999,116.001,138.0,301.0,330.999,158.999,126.0,262.0,801.003,201.001,61.0,742.0,119.0,62.0,251.0,60.0,338.999,528.0,173.457,131.999,308.001,73.999,717.001,127.0,190.0,300.002,1.0,184.999,301.0,65.049,47.999,102.0,115.999,170.969,87.0,436.0,170.999,94.999,306.001,1253.001,354.0,238.0,272.999,86.001,179.0,130.0,42.0,105.904,140.0,215.999,129.0,341.943,39.0,11.0,116.815,108.999,375.0,156.999,1381.0,54.0,51.0,30.001,50.0,447.0,240.0,41.999,532.999,54.0,1732.0,2826.001,482.001,1113.999,128.0,63.999,1156.603,560.0,161.0,202.894,789.999,121.0,180.0,116.999,276.0,177.0,230.001,193.298,75.001,949.981,2118.0,353.0,257.999,25.0,182.0,42.0,511.001,283.0,219.757,14.0,396.001,49.0,8.0,1
214.0,42.0,2878.999,265.0,77.445,626.0,236.001,815.0,385.001,539.0,58.8,115.0,205.0,7.0,7.0,199.0,167.0,118.0,164.0,442.0,720.0,1933.003,390.0,179.001,147.001,249.999,607.0,193.0,432.001,506.0,105.0,434.001,228.999,656.0,200.002,38.0,272.0,898.0,119.0,178.0,357.999,360.0,127.0,103.0,210.999,852.0,999.0,61.0,725.001,145.0,112.0,286.0,72.0,332.999,650.0,190.472,185.0,182.177,126.998,833.0,123.999,153.0,656.001,0.0,127.001,406.0,74.292,102.002,133.999,160.0,197.0,77.0,234.0,230.002,88.0,318.999,1224.001,386.0,228.001,369.001,332.0,223.001,240.0,83.0,92.445,147.0,186.001,176.0,397.947,41.0,6.0,197.06,173.001,243.0,214.0,1145.939,101.001,81.0,33.0,61.999,587.0,280.0,45.0,675.001,15.0,2381.0,1616.0,374.0,1128.0,107.0,97.626,681.975,558.0,222.0,254.0,976.001,107.0,211.0,139.0,166.0,387.001,203.999,220.969,96.001,599.684,1230.0,290.999,261.0,42.0,131.001,61.999,1198.001,481.001,227.877,24.0,667.0,92.0,20.0,0
134.001,233.001,607.0,315.0,182.95,753.0,162.999,1178.001,328.0,580.0,31.78,172.0,234.0,4.0,1.0,198.0,60.0,137.999,177.0,547.0,750.0,3336.0,276.999,516.998,138.0,488.999,814.001,267.0,192.0,423.999,128.0,722.001,336.0,886.002,397.128,71.0,291.001,836.998,164.0,292.0,463.0,607.001,205.0,281.0,328.0,909.999,253.0,66.0,753.0,139.001,158.0,357.0,131.0,437.998,828.0,170.73,253.0,264.0,218.0,1430.0,173.0,223.0,139.999,14.0,78.0,496.999,92.904,184.001,83.001,202.999,134.621,80.0,270.0,251.999,148.999,376.001,1566.998,574.999,387.0,403.0,384.0,277.0,197.0,134.999,107.921,297.0,322.0,184.0,420.563,78.999,3.0,210.001,203.0,319.0,261.0,1445.0,126.0,97.0,53.999,105.0,568.0,270.0,54.001,546.0,42.0,2336.0,1268.001,642.0,2013.0,168.0,123.591,1117.924,870.999,320.0,363.187,963.001,111.0,210.0,133.0,177.0,301.999,201.999,238.19,123.001,963.928,1413.0,321.999,368.001,10.0,299.001,112.0,1036.0,452.001,506.548,46.0,1042.0,107.0,22.0,0
186.0,23.0,2288.0,183.0,78.258,461.999,150.0,569.0,229.0,356.999,50.058,92.0,202.0,2.0,12.0,131.0,62.0,81.001,192.0,312.0,581.0,1603.001,404.0,371.999,112.999,221.0,444.0,112.0,242.999,386.0,106.0,409.999,287.0,705.0,332.839,34.0,202.0,552.0,102.0,128.0,279.001,271.999,146.0,200.0,196.999,536.999,690.0,37.0,558.0,98.0,131.0,219.0,103.0,329.001,523.999,132.981,155.0,141.118,105.999,830.0,145.0,172.0,177.0,2.0,116.999,305.999,71.713,86.999,100.0,131.0,224.0,55.0,300.0,204.0,99.001,236.0,1177.998,294.001,232.0,284.999,198.002,148.0,157.0,64.0,84.439,135.0,190.0,142.001,428.866,32.722,1.0,151.001,139.0,196.001,179.001,765.666,73.0,73.0,27.0,60.0,374.0,152.0,61.0,542.0,24.0,882.0,1339.0,393.999,1259.999,131.0,78.969,1090.937,378.0,153.999,206.136,658.0,49.0,172.999,124.0,197.0,280.999,187.0,173.383,84.001,576.976,892.0,267.001,175.999,46.0,164.999,65.0,808.0,317.0,248.518,13.0,618.0,91.999,23.0,0
301.001,277.629,1008.0,608.0,164.251,607.0,541.001,1218.421,413.999,781.999,175.626,84.0,405.0,0.0,17.0,145.0,54.0,173.058,285.0,479.0,737.999,2612.0,215.0,535.0,183.001,366.0,973.0,236.0,601.0,735.0,137.0,585.0,301.0,872.999,377.998,172.0,323.002,935.0,192.001,322.001,583.0,485.0,245.001,103.0,392.0,1063.001,2020.999,119.0,1111.999,226.0,274.999,277.0,107.0,794.001,789.0,400.637,238.001,229.0,167.0,1177.001,182.0,331.0,888.0,18.0,1007.001,511.001,109.178,102.001,239.487,286.999,271.331,169.0,383.0,157.001,337.001,407.001,1696.999,553.999,509.704,638.001,164.0,297.001,371.0,99.0,158.786,241.001,321.0,233.999,637.764,70.0,22.0,93.0,219.0,457.0,300.0,1402.0,178.0,90.0,84.0,89.0,613.0,289.0,93.001,482.0,49.0,2205.998,2967.0,856.0,1269.001,206.001,138.016,2362.913,1056.0,285.0,348.0,1253.0,175.0,368.0,142.999,395.001,487.001,269.0,356.843,148.0,440.0,1846.001,521.0,346.001,65.0,372.001,129.0,1074.999,510.0,477.883,7.0,650.0,135.0,83.999,0
323.0,45.999,3270.0,369.0,86.873,438.0,195.999,773.001,218.001,528.0,47.759,100.0,304.0,2.0,5.0,123.0,88.0,117.0,194.0,417.001,704.0,2123.002,636.001,569.0,229.001,316.999,418.0,149.0,333.001,822.002,179.999,661.001,316.0,848.0,424.999,86.0,297.001,907.001,129.0,190.0,361.0,360.999,225.0,215.0,204.999,789.0,1415.0,65.0,722.001,205.0,237.0,291.0,90.0,444.0,648.0,131.929,238.0,214.0,149.999,1012.001,174.0,236.0,204.999,0.0,82.0,445.001,142.289,100.998,168.0,185.001,364.999,48.999,393.0,291.999,97.001,257.0,1839.0,341.0,283.614,387.0,335.999,220.001,275.0,75.0,109.179,124.999,280.0,223.001,773.492,74.0,7.0,233.999,167.0,313.999,210.0,796.0,116.999,102.0,56.0,96.999,511.999,274.0,54.0,808.001,48.001,954.0,1980.001,528.001,1270.998,196.0,115.696,1558.858,737.0,339.999,285.774,1001.001,113.0,260.136,152.0,232.999,682.0,253.0,208.465,128.999,1025.799,1092.0,372.0,288.0,75.001,252.0,99.0,1513.002,504.0,395.863,21.0,1069.959,122.0,52.0,0
264.0,39.999,886.001,335.0,187.279,446.0,221.0,763.0,223.001,545.999,56.967,180.0,279.0,11.0,4.0,117.0,38.0,96.001,162.0,527.0,711.999,2097.002,289.999,564.0,185.001,342.999,717.0,160.0,184.001,626.001,142.0,585.0,333.998,695.0,299.0,61.0,268.001,551.001,139.0,226.0,406.0,316.001,197.0,268.0,315.001,761.002,198.002,72.0,851.002,164.001,126.002,367.999,115.0,385.001,752.0,156.397,251.999,207.001,175.0,1247.0,159.0,169.0,36.0,1.0,94.0,469.0,74.165,98.0,166.0,190.0,253.0,88.0,286.0,249.999,145.0,242.0,1652.001,521.999,298.048,491.0,356.001,257.001,239.0,119.001,105.875,234.0,235.999,176.0,529.85,60.042,3.0,212.449,206.0,315.0,249.0,571.0,120.0,112.0,38.0,66.0,457.0,213.0,40.0,352.0,45.0,1280.001,1620.001,639.0,1654.0,163.0,92.0,1350.944,799.0,179.002,318.998,984.0,130.0,180.999,136.0,171.0,385.999,272.999,146.063,102.001,851.696,1365.0,537.0,357.543,20.0,247.0,58.0,1174.001,569.001,785.289,32.0,748.0,99.0,19.0,0
177.999,46.001,584.001,221.001,150.691,453.0,142.0,823.0,212.001,405.999,48.995,106.0,261.0,9.0,2.0,97.0,37.001,79.001,230.0,402.0,748.0,1647.001,268.0,417.001,104.0,302.0,570.0,157.001,184.0,362.001,116.0,495.001,294.0,804.999,359.998,45.0,214.001,498.001,112.002,203.001,369.001,369.0,249.0,281.001,237.0,593.998,269.0,77.0,609.0,138.0,104.0,245.0,84.0,369.0,621.001,93.0,218.001,154.0,150.0,1250.0,153.0,191.0,66.0,0.0,80.0,376.001,79.446,118.001,108.0,172.0,185.001,67.001,248.0,188.999,88.0,280.999,1517.001,392.0,240.521,336.0,269.0,192.0,189.001,96.001,95.978,197.999,245.999,150.0,414.733,57.09,2.0,169.12,154.002,326.0,182.0,881.001,98.0,115.0,50.0,92.001,499.0,170.0,38.0,404.999,35.0,1331.001,1138.0,494.0,2013.0,128.001,95.114,1276.708,513.0,198.0,283.474,702.001,106.0,150.0,123.0,180.0,245.0,181.0,191.142,80.001,698.805,1201.999,387.0,249.0,20.0,236.999,91.0,741.999,393.999,530.249,19.0,568.98,77.002,36.0,0
210.001,139.0,473.0,603.0,157.457,364.0,643.0,746.999,421.0,970.999,117.135,116.0,469.001,11.0,6.0,82.0,44.0,75.999,137.0,374.0,683.999,2550.001,390.999,498.0,115.0,197.0,680.0,82.0,325.0,652.0,128.0,388.0,188.999,491.0,228.0,181.0,235.998,530.0,62.999,113.0,476.0,292.999,230.998,69.0,359.0,1298.0,382.999,79.999,1717.999,159.999,214.0,323.0,77.0,318.999,662.0,396.022,136.001,198.0,141.0,781.0,69.0,304.0,237.0,1.0,442.0,397.998,139.464,130.999,248.0,180.0,138.49,117.0,303.0,154.0,208.0,320.998,2510.001,459.999,306.999,596.999,150.0,204.001,191.001,116.999,88.545,96.0,217.0,57.0,812.12,45.24,44.999,96.362,204.0,185.0,214.0,911.0,173.0,139.0,51.001,135.0,314.0,226.0,32.001,289.999,55.0,767.0,2536.0,583.998,1099.999,164.0,71.398,1096.793,1077.0,358.0,201.808,970.998,155.0,259.001,91.0,212.0,314.002,225.0,191.299,104.0,476.978,1425.306,692.0,196.0,83.0,312.999,42.0,620.001,424.001,534.423,9.0,388.944,116.0,141.0,0
303.0,59.0,3260.0,528.0,164.134,893.0,333.0,978.999,462.001,870.0,90.361,195.0,381.999,9.0,13.0,300.0,96.0,173.0,231.999,767.0,1049.001,4278.001,632.0,705.0,315.0,432.0,907.966,235.0,334.0,883.0,206.0,786.998,373.001,824.999,380.0,125.0,417.0,1181.0,203.999,321.999,621.001,396.001,197.0,252.0,357.999,1160.001,815.0,92.0,1239.0,261.0,189.0,674.0,221.0,510.0,909.999,299.468,340.0,404.138,196.0,1529.999,238.001,405.0,261.001,1.0,159.0,404.001,73.422,130.999,171.999,216.0,248.29,107.0,434.0,319.0,165.999,393.999,2648.0,693.001,435.0,630.0,331.001,381.999,311.001,169.0,187.415,316.0,350.0,272.0,659.681,73.019,10.0,181.135,241.999,302.0,346.999,745.002,146.0,157.0,92.999,137.0,616.001,330.0,83.0,787.0,63.0,2314.0,3186.0,847.0,1822.0,175.999,157.701,1864.456,999.0,288.0,449.999,1302.0,203.0,378.096,168.001,220.999,485.0,326.999,250.578,188.0,1510.558,2086.0,550.0,482.001,60.0,318.999,56.0,2135.001,728.0,694.522,52.0,1258.0,131.002,42.001,0
